petal_length,petal_width,species
1.4,0.2,setosa
1.4,0.2,setosa
1.3,0.2,setosa
1.5,0.2,setosa
1.4,0.2,setosa
1.7,0.4,setosa
1.4,0.3,setosa
1.5,0.2,setosa
1.4,0.2,setosa
1.5,0.1,setosa
1.5,0.2,setosa
1.6,0.2,setosa
1.4,0.1,setosa
1.1,0.1,setosa
1.2,0.2,setosa
1.5,0.4,setosa
1.3,0.4,setosa
1.4,0.3,setosa
1.7,0.3,setosa
1.5,0.3,setosa
1.7,0.2,setosa
1.5,0.4,setosa
1,0.2,setosa
1.7,0.5,setosa
1.9,0.2,setosa
1.6,0.2,setosa
1.6,0.4,setosa
1.5,0.2,setosa
1.4,0.2,setosa
1.6,0.2,setosa
1.6,0.2,setosa
1.5,0.4,setosa
1.5,0.1,setosa
1.4,0.2,setosa
1.5,0.1,setosa
1.2,0.2,setosa
1.3,0.2,setosa
1.5,0.1,setosa
1.3,0.2,setosa
1.5,0.2,setosa
1.3,0.3,setosa
1.3,0.3,setosa
1.3,0.2,setosa
1.6,0.6,setosa
1.9,0.4,setosa
1.4,0.3,setosa
1.6,0.2,setosa
1.4,0.2,setosa
1.5,0.2,setosa
1.4,0.2,setosa
6,2.5,virginica
5.1,1.9,virginica
5.9,2.1,virginica
5.6,1.8,virginica
5.8,2.2,virginica
6.6,2.1,virginica
4.5,1.7,virginica
6.3,1.8,virginica
5.8,1.8,virginica
6.1,2.5,virginica
5.1,2,virginica
5.3,1.9,virginica
5.5,2.1,virginica
5,2,virginica
5.1,2.4,virginica
5.3,2.3,virginica
5.5,1.8,virginica
6.7,2.2,virginica
6.9,2.3,virginica
5,1.5,virginica
5.7,2.3,virginica
4.9,2,virginica
6.7,2,virginica
4.9,1.8,virginica
5.7,2.1,virginica
6,1.8,virginica
4.8,1.8,virginica
4.9,1.8,virginica
5.6,2.1,virginica
5.8,1.6,virginica
6.1,1.9,virginica
6.4,2,virginica
5.6,2.2,virginica
5.1,1.5,virginica
5.6,1.4,virginica
6.1,2.3,virginica
5.6,2.4,virginica
5.5,1.8,virginica
4.8,1.8,virginica
5.4,2.1,virginica
5.6,2.4,virginica
5.1,2.3,virginica
5.1,1.9,virginica
5.9,2.3,virginica
5.7,2.5,virginica
5.2,2.3,virginica
5,1.9,virginica
5.2,2,virginica
5.4,2.3,virginica
5.1,1.8,virginica